REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ
12197;BENJAMIM ARROBA PRODUÇÕES E COMUNICAÇÃO LTDA;06985186000161
12199;E.R.TOSTA;03692683000183
122;CENA 1 PRODUÇÕES LTDA;02899751000117
12200;CINEMARKETING FILMES LTDA;05350563000123
1221;A2D VIDEOS E PRODUÇÕES LTDA - EPP;05528230000141
12229;ALDERICO LUCAS DA SILVA JÚNIOR - ME;08323683000120
1223;CANAL IMAGINARIO COMUNICAÇÃO LTDA;01254746000194
12238;ONDINA FILMES PRODUÇÕES ARTÍSTICAS LTDA;06177368000106
12255;BOOK FILMES PRODUÇÕES LTDA.;07966825000104
1226;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;90130634000151
12261;QUANTAMIDIA SERVICOS AUDIO VISUAIS LTDA ­ ME;08113511000121
12286;MARCOS ALTERIO HOFFMANN;08613634000121
12292;DG CONSULTORIA E COMUNICAÇÃO AMBIENTAL LTDA.;06242683000170
12294;MAURICIO BRENNER;07440192000104
12305;GRANDSLAM FILMS PRODUTORA DE VIDEOS LTDA;07708879000170
12306;INTERROGAÇÃO FILMES LTDA.;04750392000167
12317;EXILADOS COMUNICAÇÕES LTDA;05697165000188
12330;ADVENTURE PRODUÇÕES LTDA;08074365000172
12351;ASTRO PRODUÇÕES FILMES E DOCUMENTARIOS LTDA EPP;06322638000125
12354;GHIROTTI PRODUCOES CINEMATOGRAFICAS EIRELI;08667717000101
12358;ROCINANTE EDIÇÃO E FILMAGEM LTDA;07648962000109
12366;AUDAZ FILMES PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA;08686478000129
12370;J.M.GIACOMINI;08175498000135
12383;NOVA RUSH PRODUÇÕES LTDA;01170162000130
12390;RBA COMUNICAÇÕES LTDA-ME;02946323000106
12395;RED ANGEL FILMES LTDA;06265841000107
12401;JANELA DIGITAL COMUNICAÇÃO VISUAL LTDA. - ME;07891040000110
12418;AURORA FILMES LTDA.;08429784000180
1242;INFLUÊNCIA FILMES LTDA. ME;01349050000141
12439;CINEMAS BELAS ARTES LTDA - EPP;08599959000105
1244;ABBAS FILMES LTDA.;03189055000180
12444;SPYRRO FILMES LTDA;05286195000100
12445;SANTIAGO PRODUÇÕES ARTÍSTICAS LTDA;28988368000129
1245;OFICINA CINEVIDEO EIRELI;05475101000132
12469;AFONSO ALMEIDA VIDEOCOMUNICAÇÃO LTDA;02524026000164
1247;PALMARES PRODUÇÕES E JORNALISMO LTDA;35792621000130
12492;IRIS COMUNICAÇÃO E ARTE LTDA.;07195872000100
125;CINEMATOGRÁFICA SUPERFILMES LTDA;52858982000150
12500;HUDSON K. VIEIRA FILMES PRODUÇÕES;08646534000100
12507;VOGAL IMAGEM LTDA- ME;07837887000116
12516;NATACHE MEDINA PRODUÇÕES ME;06925997000177
12551;MENDINA DE MORAIS SANTOS PRODUÇÕES LTDA.;08681701000145
12552;NA BOCA DO LOBO PRODUÇÕES ARTÍSTICAS LTDA.;08720884000160
12564;OURO 21 PRODUÇÃO DE FILMES LTDA;08821187000104
12581;CASA CINCO PRODUÇÕES E PROMOÇÕES CULTURAIS E ARTÍSTICAS LTDA;08870953000112
12606;ANIMASSAURO PRODUÇÕES LTDA;06077962000125
12620;JKR PRODUÇÕES ARTISTICAS LTDA.;08896754000183
12633;BDT PLANEJAMENTO E COMUNICAÇÃO LTDA;67138560000188
12636;JANGAL FILMES E PRODUÇÕES ARTISTICAS LTDA;08892387000140
12638;BISTRÔ COMUNICAÇÃO E CULTURA LTDA;07269960000109
12639;CISUP LTDA;03770523000105
12648;RS ¿ MULTIMÉDIA TELEVISÃO E CINEMA LTDA. ¿ ME.;91038257000198
12650;BRASILEIRA IMAGEM E CONTEUDO LTDA.;08902896000106
12657;SERTÃO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;08752098000145
12666;CINEMALINK - EDIÇÃO E CRIAÇÃO DE VÍDEO LTDA;08830439000153
1267;SUPERTRUNFO - COMUNICACOES LTDA;01916445000189
12689;RODRIGO MEIRELLES FILMES LTDA;07793048000143
12699;FORTE FILMES PRODUÇÕES ARTÍSTICAS LTDA;08787497000141
12701;GTEC DIGITAL EIRELI;03699216000185
12707;MARGOT FILMES LTDA;00198170000122
1272;AION CINEMATOGRAFICA LTDA;01835704000147
12720;ANJO AZUL FILMES LTDA;08872404000187
12721;KINEMA VIDEO PRODUCOES LTDA;08753656000197
12731;B SIDE PRODUÇÃO DE VÍDEO LTDA - ME;07867455000158
12735;METEORO FILMES E PRODUÇÕES LTDA.;08358620000109
1274;TECHNE COMUNICAÇÕES LTDA;72150345000132
12751;IMAGEM PRODUÇÕES E SERVIÇOS LTDA.;08635539000129
12756;DETOUR FILMES LTDA;08889030000102
12766;RINALDI PRODUÇÕES & PUBLICIDADE LTDA - ME;66176181000110
12770;ESTILINGUE FILMES LTDA. ME;08763501000131
12774;POLAR FILMES, EVENTOS CULTURAIS E ARTISTICOS LTDA EPP;08708048000160
12788;TELEZOOM - PRODUÇÕES E EVENTOS LTDA.;08856362000190
1279;TEXTO E IMAGEM LTDA;52399466000105
12792;9D PRODUÇÕES & EVENTOS LTDA - ME;04570029000160
12793;FRAME FILMES LTDA;08311737000137
12796;LÚMEN PRODUÇÕES AUDIOVISUAIS LTDA. - ME;08103899000180
12797;A. P. VASCONCELOS PADRAO PRODUCOES LTDA;07346770000130
12800;ABRAÃO DA S. CARDOSO COMUNICAÇÕES E PRODUÇÕES EIRELI - ME;08710304000154
12802;URUTAU FILMES LTDA;08950114000104
12803;DAMASCO FILMES LTDA;05626923000177
12818;CVTV PRODUÇÕES ARTÍSTICAS LTDA. ME;68851906000153
1282;CINEMATOGRÁFICA VERA CRUZ LTDA.;59119800000179
12821;GUARDA-SOL PRODUÇÕES LTDA. ME;07646931000100
12825;LUAN LOPES DE MELLO;08742878000104
12859;INFOCUS PROMOÇÕES E EVENTOS LTDA.;04979511000158
12862;REZA BRAVA PRODUÇÃO E COMUNICAÇÃO AUDIOVISUAL LTDA;08580579000110
12867;STUDIO CERRI PRODUÇÕES LTDA;04721942000110
12869;EVOLUÇÃO FILMES LTDA - ME;00074355000125
12870;STUDIO F3 LTDA;23481856000121
12873;MIRABILIS VÍDEO COMUNICAÇÃO LTDA;08816908000180
12883;LG EMPREENDIMENTOS CULTURAIS E ARTISTICOS LTDA;31604598000151
1289;C.A.R.A. VIDEO PRODUÇÕES LTDA;03686925000126
12892;OCTÁVIO BEZERRA PRODUÇÕES CINEMATOGRÁFICAS LTDA;01138975000143
12897;CORTE SECO FILMES LTDA;04761874000112
12899;DIGIDOIS WEBSITES EM PROGRAMAÇÃO VISUAL LTDA.;07379493000161
129;FR PRODUÇÃO E VIDEOCOMUNICAÇÃO EIRELI.;29529633000173
12902;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;08346159000174
12913;ORQUESTRA CINEMA ESTÚDIOS LTDA;08016733000126
12925;TÔ NA REDE PRODUÇÃO DE FILMES LTDA;05674173000109
12927;RÍMEL PRODUÇÕES ARTÍSTICAS LTDA;08588114000106
12941;BARRY COMPANY PRODUÇÕES AUDIOVISUAIS LTDA;09012841000193
1295;INSTITUTO BRASILEIRO DE AUDIOVISUAL;02605336000103
12954;ANIMA LUCIS PRODUCOES EIRELI - ME;01413995000185
12958;VEREDA FILMES LTDA;08741983000129
12960;CACTO FILMES LTDA-ME;08489870000188
12965;TRATOR FILMES LTDA;08164917000133
12996;IVANDRO DOS SANTOS SOUZA;09052604000156
12998;LUA MULTIMÍDIA LTDA;32264921000158
13;QUINHO GUIMARÃES PRODUÇÕES EIRELI;59840025000146
13012;BLUES FILMES PRODUÇÕES LTDA-ME;03141461000172
13013;CABEÇA DE CUIA PRODUTORA DE FILMES E VÍDEOS LTDA;01025252000138
13016;COMVÍDEO PRODUÇÕES BROADCAST LTDA;08988015000111
13017;EMVIDEO EVENTOS AUDIOVISUAIS LTDA;07071805000175
13019;MARCEL SILVA BUCAR - EPP;04104336000155
13029;TORTUGA STUDIOS PRODUTORA DE FILMES LTDA;09028371000156
13031;COLATERAL FILMES LTDA.;09059127000150
13037;CINETRIP ARTE & CULTURA LTDA ME;08792340000104
1304;URCA FILMES LTDA;05256465000121
13044;RACONTO PRODUÇÕES ARTÍSTICAS LTDA. ME.;09095244000170
13047;A DE S BAENA PUBLICIDADE;07928850000101
1305;ARTIFÍCIO CINEMATOGRÁFICO E PRODUÇÕES LTDA.;74165200000130
13056;CRUG FILMES LTDA.;00860124000147
1307;1986U10 COMERCIAL FILMES LTDA.-EPP;05588719000109
13079;CRIART PRODUÇÕES DE SONS E IMAGENS LTDA;09046421000128
13090;GUERRILHA PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LIMITADA;09125031000143
13111;MUSEU DE HISTÓRIA E CIÊNCIAS NATURAIS;00152352000162
13117;D22 FILMAGENS LTDA;08662135000124
13123;POLO MS CINEMA E VÍDEO LTDA;03493590000120
13144;TOWN NETWORK FILMAGENS LTDA.;07785248000154
13148;CAVALO DO CÃO PRODUÇÃO DE FILMES LTDA - ME;08410008000138
13149;VM EMPREENDIMENTOS ARTISTICOS E CILTURAIS LTDA;05161515000197
13160;BIT FILMES EIRELI;07475096000193
13198;CARTEL GRAPHICS EIRELI - ME.;09107832000186
132;PRODUTORA DE CINEMA E FILMES ASSOCIADOS LTDA.;01648742000190
13200;RIO NOVO PRODUCOES LTDA.;02961378000187
13211;KA-VIC PRODUÇÕES E PROMOÇÕES EIRELI;04366149000140
13212;MAMBO JACK FILMES E PRODUÇÕES LTDA;08595822000174
13214;VIDEOMAKERS FILMES EIRELI - ME;07476818000124
1322;MOTTA LIMA PRODUÇÕES E COMUNICAÇÃO LTDA.;28015899000135
13231;GEN LOCK PRODUÇÕES LTDA;40326688000119
13245;J.M. VÍDEO E PRODUÇÕES LTDA;60882016000105
13246;BIJARI PRODUÇÕES LTDA;08658341000160
13247;RAIZES PRODUÇÕES CULTURAIS LTDA;08643391000174
13248;CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS;09050059000169
13250;PANAMBI ARTE & COMUNICAÇÃO LTDA. - EPP;58411778000173
13259;AIA PRODUÇÕES LTDA;06267762000135
13269;SANTA LUZIA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09124563000166
13275;BELEZA NATION CONTEUDO E FILMES LTDA;08790022000104
13280;CHROMA FILMES LTDA;06251779000102
13284;ARMAZÉM MÍDIA ARTES - EIRELI;07221126000135
13295;GUILHERME CARNEIRO LEÃO SIMÕES - ME;09179585000123
13297;AROMA FILMES LTDA ME.;02908530000168
13299;KOMBO COMUNICAÇÃO LTDA;05592215000162
133;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94625829000123
13303;GMB PRODUTORA DE CINEMA E VIDEO LTDA;09011546000112
13308;BRAVA PRODUÇÕES EIRELI-ME;09247631000184
13313;IPANEMA ENTERTAINMENT CRIAÇÃO E PRODUÇÃO DE OBRAS AUTORAIS LTDA.;09207407000169
13318;FOCCUSS ASSESSORIA E SUPORTE AUDIOVISUAL LTDA;09204283000168
13325;NTV CINE E VIDEO S/S LTDA;09059467000181
1333;S.D.V. EVENTOS E PROMOÇÕES LTDA-ME;00256577000169
13345;CADUX CRIAÇÃO E DESIGN LTDA.;07898256000107
1335;KN CONTEÚDO PRODUÇÕES LTDA.;02208389000190
13350;400 FILMES - SERVIÇOS DE PRODUÇÃO LTDA ME;09065789000133
13354;TERRA FIRME PRODUÇÕES CINEMATOGRÁFICAS LTDA;09260004000183
13359;ZAPATA FILMES LTDA;09186774000123
13362;INSTITUTO DE CULTURA E CIDADANIA FEMINA;09202566000170
13365;ZUÊRA PRODUÇÕES ARTÍSTICAS LTDA;07149243000135
1338;LEBLON 3 CINEMA E COMUNICAÇÃO LTDA;05481793000121
13387;ACERE PRODUÇÃO ARTÍSTICA E CULTURAL LTDA;09261668000167
13390;MIDIA QUATRO COMUNICAÇÃO ÁUDIO VISUAL LTDA ME;09180543000102
13394;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;09207344000140
13397;CAZA FILMES LTDA;09137251000197
13399;LACUNA FILMES LTDA;08677301000166
13405;BTRB DIGITAÇÃO DE IMAGENS E TEXTO LTDM;09139845000137
13407;QUADRO VERMELHO PRODUÇÕES LTDA;09100541000166
13412;GEGE PRODUÇÕES ARTÍSTICAS LTDA.;27051978000139
13417;CONTATUS PUBLICIDADE LTDA;03021447000135
13422;QUITANDA DIGITAL MULTIMÍDIA LTDA;07442096000197
13424;ILEGAL FX POS-PRODUCAO AUDIOVISUAL LTDA;09222300000190
13427;NOTURNA PRODUÇÃO DE VIDEO LTDA - ME;08991600000170
13443;FJ PRODUCOES EIRELI;01894553000106
13445;OUTRACENA VIDEOPRODUCOES LTDA ME;09301075000187
13446;POPCON PRODUÇÕES LTDA;09281789000170
1345;TVXZ DIREÇÃO ROTEIRO DESIGN ELETRÔNICO LTDA;01420501000190
13450;CABRA QUENTE FILMES LTDA;08277315000192
13453;SEGUNDA-FEIRA FILMES PRODUÇÕES ARTÍSTICAS LTDA. - ME;08798008000157
13458;MAIS FILMES LTDA;09255824000187
13463;BESOURO FILMES LTDA.;08112710000115
13465;CIRANDA FILMES E VIDEOS EIRELI - ME;09322209000146
13468;CINEAR PRODUÇÕES E EXIBIÇÕES CINEMATOGRÁFICAS LIMITADA EPP;07137708000138
1347;ESTÚDIO CONSEQUÊNCIA DE ANIMAÇÃO LTDA EPP;03971011000107
13481;ALEXA FILMES LTDA - ME;09243525000122
13486;VIDEOCUBO PRODUÇÕES CULTURAIS, ARTÍSTICAS E CINEMATOGRÁFICA LTDA. EPP;09184493000131
13496;FOGO CERRADO IMAGENS E SERVIÇOS LTDA ME;03762421000148
13497;MADREMIDIA PRODUCOES CINEMATOGRAFICAS E TRANSPORTE LTDA ME;08355139000160
13505;VIDEOGRAFICA SERVIÇOS DE COMUNICAÇÕES LTDA;01030870000176
13508;HSU CHIEN HSIN;06880977000127
13513;VIDEOFORUM FILMES PRODUÇÕES ARTÍSTICAS LTDA.;01179201000160
13516;FLO PROJETOS LTDA;04979293000151
13520;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09107296000119
13525;ARMAZEM PRODUTORA E EDITORA EIRELI;04859093000165
13527;TIME PRODUCAO DE FILMES EIRELI;07835011000130
13532;SPEROTTO VIDEO PRODUCOES LTDA;09276704000166
13541;P.G.C. MARTONI DA NOBREGA - PRODUÇÃO CINEMATOGRÁFICA - ME;09165924000112
13542;IYÁ OMIN PRODUÇÕES ARTÍSTICAS E CULTURAIS LTDA ME;09261948000175
13543;ANTONIO CARLOS TEXTOR;89321418000104
13549;HALO PRODUÇÕES ARTÍSTICAS LTDA;07824062000167
13552;HEAD FILMES LTDA-ME;09341047000193
13554;BRITTO & FREITAS PUBLICIDADE LTDA;08214605000197
13558;MARCELO MACHADO PRODUÇÕES ARTÍSTICAS LTDA - ME;71743496000131
1356;MULTIPRESS COMUNICAÇÃO LTDA.;68569839000189
13563;ANTONIO ELDO MOURA-ME;12783874000141
13566;CAMPUS AVANÇADO;04190378000156
13567;MAR BRASILIS PRODUCOES CULTURAIS LTDA;58551193000159
1359;DIGITAL ARTE E VIDEO - EIRELI;04927991000103
13600;PAVESI & GUERRA LTDA;08929943000105
13603;RENATA DA SILVA OLIVEIRA EIRELI;03006663000101
13620;CAVALO MARINHO AUDIOVISUAL LTDA;09392543000176
13628;BUENDIA FILMES LTDA;09030118000137
13645;PERSONA SOLUÇÕES AUDIOVISUAIS LTDA;09300718000178
13648;MARCOS R DE SOUZA FILMAGEM ME;08395199000106
13653;N SRA CASTING´S PRODUÇÕES ARTÍSTICAS LTDA;72991516000156
13654;QUEBRA CABEÇA PRODUÇÃO DE VÍDEO LTDA;09219800000172
13655;KARINE MEDEIROS EMERICH;08745908000136
13668;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;09240833000102
13669;FÁBRICA DE FILMES COMUNICAÇÃO LTDA;08060504000109
13672;MIM PRODUÇÕES AUDIOVISUAIS LTDA;08998673000194
13675;ONE FOR ONE PRODUÇÕES EIRELI;02712383000156
13680;BE BOSSA NOVA CRIACOES E PRODUCOES S/A;07533507000150
13681;DOMÍNIO PÚBLICO PRODUÇÕES ARTÍSTICAS LTDA;04979755000130
13682;E C P CARDOSO EMPREENDIMENTOS CULTURAIS;09231029000159
13683;VIDEOSFERA MULTIMIDIA LTDA. - ME;04325469000151
13691;PLATEAU REALIZAÇÕES ARTÍSTICAS LTDA;09243898000101
137;FRANCISCO RAMALHO JUNIOR FILMES LTDA;52308558000132
13709;SUPERNATURAL PRODUÇÃO DE FILMES, PROPAGANDA E MARKETING LTDA;04782509000194
1371;916 FILMES - EIRELI;05622711000111
13715;GRAFO AUDIOVISUAL LTDA ME;09437566000150
1373;MUIRAQUITA FILMES E PRODUCOES ARTISTICAS EIRELI ­ ME;04728553000116
13732;PROCITEL - PRODUÇÕES CINE TELEVISÃO LTDA;61719134000151
13735;CASE F G COMUNICAÇÃO INTEGRADA LTDA.;08611999000117
1374;CASA NA ÁRVORE FILMES LTDA;04316333000185
13740;10ML PRODUÇÕES ARTÍSTICAS LTDA ME;02792085000113
13746;AMAURI ALVES EPP;07418789000144
13753;SEREIA DISTRIBUICAO DE FILMES EIRELI ­ ME;08905114000192
13757;MARLUCO VISÃO COMUNICAÇÃO LTDA;06092154000137
13768;COART PRODUCOES EIRELI;04493123000162
13776;PONTOS DE FUGA PRODUÇÕES ARTISTICAS LTDA;07832283000187
13782;CATAVENTO PRODUÇÕES AUDIOVISUAIS LTDA - ME;06274259000107
13783;JURUBEBA PRODUÇÕES ARTÍSTICAS LTDA.;08374600000121
13795;PRODCOM PRODUÇÃO COMERCIAL LTDA ME;09385630000104
138;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44154342000131
13822;MAURICIO DE SOUSA EDITORA LTDA;08267787000164
13827;POLYPHONIA PRODUÇÕES ARTÍSTICAS LTDA.;09514197000151
13831;PONTO DE EQUILIBRIO EVENTOS E IMAGEM EIRELI;09202111000155
13845;I.A. CARVALHO PRODUÇÕES;09017215000190
13856;COOPERATIVA DE TRABALHO CATARSE - COLETIVO DE COMUNICACAO E PRODUCAO CULTURAL LTDA;07236218000199
1386;MULTIMIX PRODUÇÕES ARTÍSTICAS LTDA.;31396336000149
13864;DEZ E VINTE PRODUÇÕES CINEMATOGRÁFICAS LTDA - ME;09274726000197
13866;BINAH PUBLICIDADE E PROPAGANDA LTDA;01073422000150
