CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300021600000;OS NORMAIS - O FILME;JOSE ALVARENGA JUNIOR;BRASIL
B0300021800000;NÁUFRAGO;AMILCAR MONTEIRO CLARO;BRASIL
B0300021900000;IMENSIDADE;AMILCAR MONTEIRO CLARO;BRASIL
B0300022100000;BANDIDO DA LUZ VERMELHA, O;ROGERIO SGANZERIA;BRASIL
B0300022200000;DENTE POR DENTE;ALICE DE ANDRADE;BRASIL
B0300022500000;OURO PRETO: OURO PRETO;ÁLVARO ANDRADE GARCIA;Não Informado
B0300022800000;TERRA PARA ROSE;MARIA TERESA PORCIUNCULA MORAES;BRASIL
B0300023300000;BMW VERMELHO;REINALDO PINHEIRO;BRASIL
B0300023400000;FILME DE AMOR;JULIO EDUARDO BRESSANE DE AZEVEDO;BRASIL
B0300023500000;CHIC CHIC;KARINA GWENDALINE ADES;BRASIL
B0300023600000;BAHIA DE TODOS OS SAMBAS;LEON HIRSZMAN;BRASIL
B0300023600000;BAHIA DE TODOS OS SAMBAS;PAULO CEZAR SARACENI;BRASIL
B0300023700000;PLANO SANGRENTO, O;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300023800000;BICHO PAPÃO E OUTRAS HISTÓRIAS, O;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300023900000;A ESTRELINHA MÁGICA;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300024000000;OGRO DA FLORESTA, O;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300024100000;SUPER-HERÓIS E OUTRAS HISTÓRIAS;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300024200000;MÔNICO E OUTRAS HISTORIAS, O;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300024300000;SEREIA DO RIO E OUTRAS HISTORIAS, A;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300024400000;SOU PERCUCIA - TOQUE BAHIA;MÁRCIO MOTOKANE;Não Informado
B0300024500000;EXU ANAN - TOQUE BAHIA;MÁRCIO MOTOKANE;Não Informado
B0300024600000;DEU NO JORNAL;MÁRCIO MOTOKANE;Não Informado
B0300024700000;AMOR, O;MÁRCIO MOTOKANE;Não Informado
B0300024800000;GERALDO JOSÉ - O SOM SEM BARREIRA;SEVERINO DE OLIVEIRA SOUZA;BRASIL
B0300025000000;MEMÓRIAS DE UM GIGOLO;ALBERTO PIERALISE;Não Informado
B0300025100000;DOIS PERDIDOS NUMA NOITE SUJA;BRAZ GUIMARAES CHEDIAK;BRASIL
B0300025200000;EU MATEI LÚCIO FLÁVIO;ANTÔNIO CALMON;Não Informado
B0300025300000;A NAVALHA NA CARNE;BRAZ GUIMARAES CHEDIAK;BRASIL
